Representation,Fitness,Best fitness,Generation,Last improved geneneration,Xo prob,Mut prob,Selection,Crossover,Mutation,Generations,Elitism,Tolerance
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,184,0,9.900000000000088e-166,337880.4434063612,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,185,0,9.900000000000089e-167,371668.4877469974,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,186,0,9.90000000000009e-168,408835.3365216972,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,187,0,9.900000000000091e-169,449718.8701738669,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,188,0,9.900000000000092e-170,494690.75719125365,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,189,0,9.900000000000092e-171,544159.832910379,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,190,0,9.900000000000092e-172,598575.816201417,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,191,0,9.900000000000093e-173,658433.3978215588,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,192,0,9.900000000000093e-174,724276.7376037147,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,193,0,9.900000000000094e-175,796704.4113640862,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,194,0,9.900000000000094e-176,876374.8525004949,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,195,0,9.900000000000094e-177,964012.3377505445,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,196,0,9.900000000000094e-178,1060413.571525599,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,197,0,9.900000000000094e-179,1166454.9286781591,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,198,0,9.900000000000095e-180,1283100.4215459751,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,199,0,9.900000000000095e-181,1411410.4637005727,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
