runkey,popsize,generations,xo_prob,mut_prob,selection_function,mutation_function,xo_function,elitism,patience,runcount,bestfit,duration_secs
884012a1-8281-4d4f-ac5c-d87bbefd6df4,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,2,8316,0.37537360191345215
93167253-ef52-4806-be11-fdd4e938f7ac,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,3,8628,0.37801241874694824
893833a9-98a6-4143-ad4d-4f9e9c9a5170,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,4,7304,0.35465216636657715
645483c3-5e69-4019-8fad-0bc45839ae4a,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,1,8828,0.2611355781555176
4a18df21-2058-4917-8857-72d8516f0ba1,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,2,7624,0.24769830703735352
30c31ed1-ae6a-4fbb-a5fd-021ebda9ce81,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,3,8784,0.3315391540527344
ea1184d3-958d-4cf5-a394-8fd705e7ac1e,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,4,8524,0.2471160888671875
cc4d7fed-56ba-42a7-bc71-f7f12929509a,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,1,7876,0.9736003875732422
e9c49be6-940a-47d1-99fb-66345c930b98,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,2,9244,1.0818231105804443
e6b9548b-2e6f-498b-a19b-e74ee7eebe82,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,3,8204,1.4912970066070557
571feb97-4811-4a28-a6d3-3bbc9e8bb73b,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,4,9084,1.2448699474334717
c0272392-22b5-40e9-8960-56cfd10effce,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,1,7884,0.8239903450012207
b05a27f4-409b-48fc-92fe-c1546b5f6dc9,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,2,8948,0.9313523769378662
3b6df6af-64ca-4644-9970-325c3bd3c735,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,3,7488,1.0503182411193848
a6a20b95-da58-4b10-a7cb-c47d257e8612,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,4,7760,1.022352933883667
bd9d1d19-8fde-4826-b3e5-179e06f16eae,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,1,7440,0.5009145736694336
72ee40ab-e989-4ec5-8aca-fae7f5325afd,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,2,8536,0.40595245361328125
90a6f143-1780-4378-a3c3-a7b3316563d7,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,3,8400,0.3760652542114258
ac29d219-2142-470a-910d-3fd65df588a0,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,4,8500,0.3917357921600342
d403d74f-4c28-4575-a454-7995bc0fac6f,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,1,8672,0.8470771312713623
b358466a-ed12-43d7-ad3e-d7577eed6227,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,2,9116,0.88299560546875
2bdebd8f-3f5e-4fb4-a5fb-7a57a52e33a6,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,3,8512,0.8741815090179443
e20d1a35-db53-437a-81ce-e17109cfdf94,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,4,7944,0.8848099708557129
a57ac208-d99c-406b-b6b9-0318a34967da,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,1,9084,1.5381386280059814
6e23e293-197d-443b-a1e8-13347df3f98a,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,2,9084,2.0094263553619385
b4461e9e-e4d3-482b-b85f-4ce10491f06a,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,3,7512,2.2344143390655518
ee2b891a-2aa1-4d0a-8bc4-2597add98736,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,4,8676,1.940718412399292
16435ce4-856b-4e76-af63-cbec8b0c248c,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,1,8448,0.3999824523925781
5f9dcdf6-2856-4351-820b-fc77c188c8cc,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,2,8860,0.4883131980895996
f7f46215-7f0f-482e-a462-5e5062d3402a,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,3,7884,0.37709927558898926
f55695f9-e4a4-49e3-8af3-ab97762a6a4b,100,150,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,500,4,8536,0.36946582794189453
b7d4e02f-3732-473e-b877-440abebb2e0a,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,1,8012,0.9383771419525146
53db8434-150b-45c1-b0a3-5560f1b61cba,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,2,8240,1.0752193927764893
3199a753-4943-4688-88ef-fe91e035677e,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,3,7580,1.1072564125061035
decd6543-bcf1-496e-bb15-59766cbd9f52,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,4,8308,0.8297877311706543
64c36224-386a-4180-a12e-f4456fccac52,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,1,8112,0.7708992958068848
9747c2e4-5d1f-4bb4-b66d-51eba8bdb19f,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,2,7876,0.6087408065795898
df7b7d20-5e0f-4d11-b429-36cbef645ddc,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,3,8704,0.8835752010345459
89cf7041-7fa1-4f07-b26b-1b197eac69ce,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,4,8788,0.5771656036376953
0b3ac30d-24c7-4053-8ccc-986a9b019102,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,1,8516,0.3834841251373291
487cc092-2e04-4f31-a8c8-0af9a059086d,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,2,8924,0.4695124626159668
1c7fdde5-af71-4ec2-8d1e-14ff0bc6728a,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,3,8628,0.38178086280822754
fb4bd636-3402-4d1d-8bb3-0b7b9a8c1275,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,4,7932,0.3915531635284424
8e30c447-10b9-422a-ab44-3c6e7629fb94,150,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,1,8636,1.0102758407592773
